title,abbrev,rank,pubdate,collection,avg_chars_per_word,avg_words_per_sentence,num_words,pct_dialog_words_with_exclamation,pct_words_dialog,pct_words_holmes,pct_words_type_name,pct_words_type_noun,pct_words_type_other,pct_words_type_stopword,pct_words_type_verb,pct_words_watson
THE ADVENTURE OF THE DEVIL'S FOOT,DEVI,14,1910-Dec,bow,4.28619561986,17.0744500846,10091,0.31556802244,56.5256168863,0.584679417303,5.1630165494,17.3025468239,11.4161133683,54.2760876028,11.8422356555,0.257655336438
HIS LAST BOW,LAST,22,1917-Sep,bow,4.07245210111,13.2430703625,6211,0.540159699389,68.5557881179,0.354210272098,5.98937369184,16.5351795202,12.5905651264,53.7916599581,11.0932217034,0.27370793753
THE ILLUSTRIOUS CLIENT,ILLU,27,1924-Nov,casebook,4.06809710889,13.8451882845,9927,0.656865811698,64.4101944193,0.604412209127,6.40676941674,15.9464087841,11.2622141634,54.920922736,11.4636848998,0.282059030926
THE BLANCHED SOLDIER,BLAN,51,1926-Oct,casebook,4.08874070274,14.6029962547,7798,0.227790432802,78.8150807899,0.16670941267,6.21954347269,15.5039753783,11.1438830469,55.9117722493,11.2208258528,0.115414208771
THE ADVENTURE OF THE MAZARIN STONE,MAZA,53,1921-Oct,casebook,4.01890684084,9.53770491803,5818,1.52546350622,73.2382261946,0.876589893434,5.9126847714,16.2255070471,12.5128910278,53.4719834995,11.8769336542,0.412512891028
THE ADVENTURE OF THE THREE GABLES,3GAB,56,1926-Sep,casebook,3.9588377724,11.0625,6195,0.763358778626,76.1259079903,1.17836965295,5.73042776433,14.1242937853,11.8321226796,55.7384987893,12.5746569814,0.161420500404
THE ADVENTURE OF THE SUSSEX VAMPIRE,SUSS,46,1924-Jan,casebook,4.1008931525,11.6269230769,6046,0.626762770291,52.7786966589,0.744293747933,5.52431359577,16.3579225935,12.3221964935,53.9695666556,11.8260006616,0.281177638108
THE ADVENTURE OF THE THREE GARRIDEBS,3GAR,36,1924-Oct,casebook,4.03953008414,12.5228628231,6299,0.480653689017,66.058104461,0.793776789967,5.49293538657,15.431020797,13.1449436418,54.4054611843,11.5256389903,0.349261787585
THE PROBLEM OF THOR BRIDGE,THOR,13,1922-Feb,casebook,4.08554996405,14.1115942029,9737,0.240855035376,68.2242990654,0.605936119955,5.58693642806,15.220293725,11.1944130636,56.495840608,11.5025161754,0.277292800657
THE ADVENTURE OF THE CREEPING MAN,CREE,40,1923-Mar,casebook,4.23092783505,13.7102473498,7760,0.491199345068,62.9639175258,0.811855670103,5.57989690722,16.0953608247,12.2293814433,54.7036082474,11.3917525773,0.373711340206
THE ADVENTURE OF THE LION'S MANE,LION,31,1926-Nov,casebook,4.14887486279,13.8292220114,7288,0.724887814981,39.7502744237,0.192096597146,5.3924259056,15.724478595,11.4709110867,56.2156970362,11.1964873765,0.0274423710209
THE ADVENTURE OF THE VEILED LODGER,VEIL,55,1927-Jan,casebook,4.016548985,13.7750759878,4532,0.458847146544,76.9417475728,0.485436893204,5.18534863195,15.1368049426,10.1500441306,57.1712268314,12.3565754634,0.17652250662
THE ADVENTURE OF SHOSCOMBE OLD PLACE,SHOS,37,1927-Mar,casebook,3.96834351982,11.8826815642,6381,0.530785562633,73.8128819934,0.799247766808,5.79846419057,16.5491302304,10.5312646921,55.2734681084,11.8476727786,0.297758971948
THE ADVENTURE OF THE RETIRED COLOURMAN,RETI,47,1926-Dec,casebook,4.15222358938,12.4213973799,5689,0.454132606721,77.4125505361,0.75584461241,5.04482334329,16.4879592195,12.3396027421,54.4735454386,11.6540692565,0.492177887151
