"artist","album","track","amp1mean","amp1std","amp1skew","amp1kurt","amp1dmean","amp1dstd","amp1dskew","amp1dkurt","amp10mean","amp10std","amp10skew","amp10kurt","amp10dmean","amp10dstd","amp10dskew","amp10dkurt","amp100mean","amp100std","amp100skew","amp100kurt","amp100dmean","amp100dstd","amp100dskew","amp100dkurt","amp1000mean","amp1000std","amp1000skew","amp1000kurt","amp1000dmean","amp1000dstd","amp1000dskew","amp1000dkurt","power1","power2","power3","power4","power5","power6","power7","power8","power9","power10"
"haydn","Haydn - Symphony 31 and Symphony 45","01 Symphony No. 31 in D, 'Hornsignal.mp3",0.253091853991679,-0.374197862435921,-0.258615865660516,-0.147423319188169,0.34298720429247,-0.437317096256881,-0.082893030909161,-0.583876692621837,0.253091853991679,-0.430925525516083,-0.410296034279576,0.128265348121037,-0.370040909173969,-0.0575591470701455,-1.45821795052826,0.117530377736193,0.253091853991679,-0.62634725575458,0.161185046886449,0.826610280424039,-0.241790700062733,-0.62992336305333,-2.77181790613623,1.07677401280307,0.253091853991679,-0.639599295511458,-0.521272463958088,-0.159734004864924,0.207394161316179,-0.616065356892868,0.263843099266675,-0.312499175881296,0.0734757845226776,0.513777489621189,0.124131520029435,-0.465585499334045,0.0401615731532272,-0.330419939058673,-0.618306646378282,0.1894064502668,-0.630946303043716,-0.855858075763004
"haydn","Haydn - Symphony 31 and Symphony 45","02 Symphony No. 31 in D, 'Hornsignal.mp3",0.247375888951496,-1.13862753990861,-0.518160023405416,2.017426171577,0.147236796990375,-1.09399313817111,-0.416450646350985,0.088151147446964,0.247375888951496,-1.02153022144965,-0.68782660160428,2.71085264448672,-0.170731101404751,-1.15146701388932,-1.95916024086216,2.4924121452519,0.247375888951496,-0.775825247558127,0.204924687700723,1.41096865078713,-0.0214732077058371,-0.760942146438198,0.688165725724073,1.91917423351152,0.247375888951496,-0.845043339064966,-1.60527107306039,0.330982155826247,0.0167529651081888,-0.821766379816469,-0.298489043751565,0.286024206313939,0.125226309798619,-0.1220661382266,0.0039194566149756,0.881960352232535,0.224692300538577,-0.283997699826165,-0.16277639166223,-0.0536891316419736,-0.6094167991318,-0.616049395688963
"haydn","Haydn - Symphony 31 and Symphony 45","03 Symphony No. 31 in D, 'Hornsignal.mp3",0.245034267506122,-0.641101336259446,0.394175942007875,0.209618536797388,-0.146097229443937,-0.654144213186021,0.0784844155204151,-0.222749233183679,0.245034267506122,-0.645848137607326,0.457862398510021,0.574287661421977,-0.40580883403608,-0.419557493684053,0.957381588861563,0.383848836458784,0.245034267506122,-0.694004491209367,0.435457318523044,-0.127829320209595,-0.256075918820087,-0.68977998681303,-0.835944671547429,-0.0331746264153598,0.245034267506122,-0.727386509672018,0.0336895898741095,0.11479572611111,-0.0255324904133678,-0.701607405711742,-2.30087719986752,0.0453607086500795,0.0569733488532495,0.650425988446971,-0.151031704646882,-0.318971224019952,-0.171243641701403,-0.291596211758127,-0.265893928236638,0.00860942071963992,-0.56788940469059,-0.865105603804365
"haydn","Haydn - Symphony 31 and Symphony 45","04 Symphony No. 31 in D, 'Hornsignal.mp3",0.246935501339131,-1.04004798182214,-0.0746544035567437,-0.568843526646754,0.0399336938812206,-1.02652117824009,-0.105502963829684,-0.773764325366922,0.246935501339131,-0.940169679352013,0.0637899317285104,-0.60767947874651,0.109312719575,-0.963171566845816,-0.490747133441546,-0.514290821338985,0.246935501339131,-0.767205929218004,-0.175663842650847,-0.649535864137021,-0.157368089446176,-0.756612085157008,-0.926435139892429,-0.634933265429559,0.246935501339131,-0.838746616804563,-0.441456034050745,-0.57536452922374,0.00650166847324372,-0.815991498245329,0.129528967255552,-0.566142049786363,0.241434263846454,-0.0341858579916293,0.812308863039517,0.17278659942415,-0.335503599408479,-0.259894233812196,-0.578147006254061,-0.24890079722863,-0.851513075358517,-1.15796407629266
"haydn","Haydn - Symphony 31 and Symphony 45","05 Symphony No. 45 in F# minor, 'Far.mp3",0.243993406324895,-0.507754109780726,-0.141471797143703,-0.567167146680695,2.11348840559284,-0.599922175224358,-0.0783713812827529,-0.697185511163853,0.243993406324895,-0.533790224838064,-0.0748779205214477,-0.411503622642122,0.889546327442466,-0.158708289806853,-0.199468345195353,-0.53099403989172,0.243993406324895,-0.657873441189556,0.564165055557825,-0.359720613532083,0.227170458401797,-0.65679113067647,0.15219018689588,-0.285803940641412,0.243993406324895,-0.724746452573231,0.0802044097604004,-0.498966529119334,0.25133482173594,-0.713992833219367,-0.305941576782674,-0.553268067082317,0.165758623534798,0.303795430594618,0.581993424950187,-0.399843324706186,-0.156219601556916,-0.385827290848752,-0.434907475398641,-0.470303517114469,-0.517993193292091,-1.07562208363542
"haydn","Haydn - Symphony 31 and Symphony 45","06 Symphony No. 45 in F# minor, 'Far.mp3",0.245566989134618,-1.29661784138681,-0.0429478469751689,-0.407672234028002,-0.0481248309529674,-1.27157788135862,-0.496583012855705,-0.52425666792331,0.245566989134618,-1.1640196555251,-0.00615010204647438,-0.132892808061634,-0.130815463564701,-1.38876479283612,-0.0643439213250521,-0.13746981863648,0.245566989134618,-0.821240057489755,0.450462367033135,-0.668474636430249,0.100911361011787,-0.804018575399731,0.246122779242137,-0.482165572218731,0.245566989134618,-0.902274448751561,-0.194104646040028,-0.728735837446325,0.0804829260797034,-0.879162840055414,0.376728588005257,-0.747742272875588,0.160892315270563,0.982407134603234,0.240219743843906,0.497773260390205,-1.35978021021499,-1.25264093202083,-1.16440494665841,0.151158775156854,-0.599388387650078,-1.07523231394223
"haydn","Haydn - Symphony 31 and Symphony 45","07 Symphony No. 45 in F# minor, 'Far.mp3",0.246598886382175,-0.918749056712633,-0.546374942904324,1.1646352361918,0.239571894774989,-0.948645922076713,-0.261405060357499,0.858203985550731,0.246598886382175,-0.85717738818287,-0.411057211083905,1.7456482330297,0.0279443502625787,-0.748441741850506,1.56813431092156,1.23308973390191,0.246598886382175,-0.773392432359868,-0.111555233000335,0.0400451046332531,0.0245494546118961,-0.766394881364598,1.03705417187604,-0.0659744144030322,0.246598886382175,-0.840330375634194,-0.773749191606673,-0.210593151191494,-0.062943779025193,-0.819138168257117,-0.0809906623716139,-0.232428566772213,0.190265472271006,0.214388077829428,0.668441116783451,-0.820350194485054,0.61760550067391,-0.824546698260717,-0.100850758706364,-0.82254184573837,-0.530173616580671,-1.08165755966135
"haydn","Haydn - Symphony 31 and Symphony 45","08 Symphony No. 45 in F# minor, 'Far.mp3",0.252859836591996,-0.63487372179171,-0.427066936653091,-0.274379280374,0.793971260839331,-0.635372303821437,-0.107761558303246,-0.63514535749418,0.252859836591996,-0.641064935888894,-0.64388655320125,0.0600939205609242,0.0118414645815545,-0.416219276239267,0.126389873322353,-0.328509632494604,0.252859836591996,-0.655754709216076,0.848975621122795,-0.229538224506716,0.0315067604451512,-0.651257286843566,-0.484689429810518,-0.173074701701729,0.252859836591996,-0.702999753673799,0.332386272215395,0.0570480404919955,-0.162813904404752,-0.686417416756732,-0.952512417424768,0.148079111942662,0.0490531219721613,0.31250870063032,0.0602146481048539,-0.326859191805335,-0.05957872570443,-0.0140326320290875,-0.135039232537355,0.0495480045701811,-0.27586038724093,-0.863484596520137
"live","Live - Throwing Copper","01 The Dam at Otter Creek.mp3",0.254678030303315,-0.17833199276474,0.106402235181869,-0.798237038433309,0.769089381857427,0.0768650995908743,-1.55617999557056,-0.487273653334355,0.254678030303315,-0.308337090136842,-0.216490206609481,-0.801211809014165,1.77705931158309,-0.0509585620441196,-0.152723281322057,-0.820227278373809,0.254678030303315,-0.546089730226819,-2.59551633710105,-0.0203930473242033,1.17392838527913,-0.543027688710863,-0.128459114868862,-0.166361054257656,0.254678030303315,-0.482958884785918,-0.717317177348221,0.732536128655799,1.32598346050063,-0.450483805264498,-0.505389412198187,0.740564555387221,-0.685480342626048,0.0105993271067327,-0.34908873770448,1.98704860651559,0.0304375747968392,1.12739874544155,0.35042467435412,0.307930155209983,0.506473658167863,0.16756203341781
"live","Live - Throwing Copper","02 Selling the Drama.mp3",0.225612117926367,0.987235026513554,-0.583620243843866,-0.68108978958524,-0.981195292771678,1.16460532651743,-0.462509112344536,-0.647373079199472,0.225612117926367,0.955561605383108,-1.72145598169688,-0.501363104210152,-0.533265614032475,1.15896362668649,-0.35670116556294,-0.564617629699762,0.225612117926367,0.55458878099089,1.97108075906897,0.148238132523978,0.284959895839485,0.563041289241775,-0.180951979134732,0.120522096705168,0.225612117926367,0.612648029891801,-0.395629401707642,-0.36293166282291,-0.605750393085994,0.686128173927008,1.77789565852626,-0.402519343107325,0.136993425212951,-0.828892518923083,-0.646710608818951,0.21193449053898,0.213067245979603,0.561341480371915,0.652614444608511,0.377888762452883,1.16408871802541,1.09763529871434
